Place,Magnitude,Link,Date
"246km S of Kangin, Indonesia",6.2,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hzl,2020-03-18
"6km NNE of Magna, Utah",5.7,https://earthquake.usgs.gov/earthquakes/eventpage/uu60363602,2020-03-18
"97km NNW of Sola, Vanuatu",6.1,https://earthquake.usgs.gov/earthquakes/eventpage/us60008hkg,2020-03-18
"172km E of Hihifo, Tonga",6,https://earthquake.usgs.gov/earthquakes/eventpage/us60008h76,2020-03-17
"53km NNW of Tome, Chile",5.6,https://earthquake.usgs.gov/earthquakes/eventpage/us60008gzt,2020-03-17
"298km NE of Raoul Island, New Zealand",6.3,https://earthquake.usgs.gov/earthquakes/eventpage/us60008fl8,2020-03-14
"69km W of Petrolia, CA",5.77,https://earthquake.usgs.gov/earthquakes/eventpage/nc73351710,2020-03-09
Southwest Indian Ridge,5.9,https://earthquake.usgs.gov/earthquakes/eventpage/us60008ay3,2020-03-06
"168km ESE of Raoul Island, New Zealand",5.6,https://earthquake.usgs.gov/earthquakes/eventpage/us60008a7b,2020-03-05
"53km WSW of Amatignak Island, Alaska",5.7,https://earthquake.usgs.gov/earthquakes/eventpage/us600087lz,2020-03-02
"117km ESE of Neiafu, Tonga",5.7,https://earthquake.usgs.gov/earthquakes/eventpage/us600085x5,2020-02-28
"48km NNW of Saumlaki, Indonesia",5.9,https://earthquake.usgs.gov/earthquakes/eventpage/us600084gu,2020-02-26
"24km SE of Saray, Turkey",6,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v9g,2020-02-23
"26km ESE of Saray, Turkey",5.8,https://earthquake.usgs.gov/earthquakes/eventpage/us70007v29,2020-02-23
"153km ENE of Petropavlovsk-Kamchatskiy, Russia",5.8,https://earthquake.usgs.gov/earthquakes/eventpage/us70007trb,2020-02-20
